title_i,title_j,cosine_similarity
Global shape processing: Which parts form the whole?,Dichoptic difference thresholds for the properties of chromatic stimuli,0.487037
Global shape processing: Which parts form the whole?,How sensitive are we to distortions in natural scenes ?,0.532233
Global shape processing: Which parts form the whole?,Perception of global textures based on joint-orientation statistics,0.585961
Global shape processing: Which parts form the whole?,Orientation tuned curvature detectors revealed by the shape-amplitude after-effect,0.728385
Global shape processing: Which parts form the whole?,The regularity after-effect: first or second-order?,0.588361
Global shape processing: Which parts form the whole?,Why is the tilt after-effect selective to local but not global luminance-contrast polarity?,0.495729
Global shape processing: Which parts form the whole?,Painted faces: misperceiving shading as pigmentation,0.469689
Global shape processing: Which parts form the whole?,Adaptation aftereffect from faces using the bubbles technique,0.604104
Global shape processing: Which parts form the whole?,An after-effect of perceived length,0.600389
Global shape processing: Which parts form the whole?,Perceptual averaging of dichoptic mixtures of colour contrast promoted by task-irrelevant luminance contrast,0.480087
Global shape processing: Which parts form the whole?,Why do certain spatial after-effects increase with eccentricity?,0.77962
Global shape processing: Which parts form the whole?,Contextual disambiguation of rotating Necker cubes,0.411834
Global shape processing: Which parts form the whole?,Dichoptic and binocular detection of hue and saturation differences: the effect of luminance contrast,0.392819
Global shape processing: Which parts form the whole?,The role of reflectance and shading in face recognition,0.410928
Global shape processing: Which parts form the whole?,Spatial properties of curvature encoding revealed by the shape-frequency and shape-amplitude after-effects,0.730022
Global shape processing: Which parts form the whole?,Color properties of binocular color fusion and rivalry,0.404719
Global shape processing: Which parts form the whole?,Cardinal colour contributions to the colour-shading effect,0.534997
Global shape processing: Which parts form the whole?,Is color patchy?,0.367119
Global shape processing: Which parts form the whole?,Dichoptic difference thresholds for familiar and unfamiliar transformations of real scenes,0.511615
Global shape processing: Which parts form the whole?,Sensitivity to color and luminance transformations in real versus phase-scrambled natural scenes,0.53538
Global shape processing: Which parts form the whole?,Equivalent-noise analysis of texture orientation processing and the line-element model,0.611455
Global shape processing: Which parts form the whole?,Colour contrast can facilitate perceived 3D shape-from-shading,0.474544
Global shape processing: Which parts form the whole?,Edge-based versus region-based texture perception: does the task matter?,0.58981
Global shape processing: Which parts form the whole?,The role of local position in the detection of contour curvature,0.682145
Global shape processing: Which parts form the whole?,After-effect of perceived regularity,0.595322
Contour inflections are adaptable features,Dichoptic difference thresholds for uniform color changes applied to natural scenes,0.549535
Contour inflections are adaptable features,Orientation tuning of curvature adaptation reveals both curvature-polarity-selective and non-selective mechanisms,0.778131
Contour inflections are adaptable features,Chromatic variations suppress suprathreshold brightness variations,0.487764
Contour inflections are adaptable features,"Colour Pools, Brightness Pools, Assimilation, and the Spatial Resolving Power of the Human Colour-Vision System",0.462969
Contour inflections are adaptable features,On the Interference of Task-Irrelevant Hue Variation on Texture Segmentation,0.415306
Contour inflections are adaptable features,"Border effects on brightness: A review of findings, models and issues",0.479208
Contour inflections are adaptable features,"Shape recognition: Convexities, concavities and things in between",0.743433
Contour inflections are adaptable features,The role of co-circularity of local elements in texture perception,0.608992
Contour inflections are adaptable features,Light-dark asymmetries in the Craik-Cornsweet-O'Brien illusion and a new model of brightness coding,0.497238
Contour inflections are adaptable features,Aftereffect of perceived regularity,0.525778
Contour inflections are adaptable features,Why do shape aftereffects increase with eccentricity?,0.736577
Contour inflections are adaptable features,Local and global components of texture-surround suppression of contour-shape coding,0.773371
Contour inflections are adaptable features,Chromatic properties of texture-shape and of texture-surround suppression of contour-shape mechanisms,0.710341
Contour inflections are adaptable features,Size and shape-frequency after-effects: same or different mechanism?,0.68072
Contour inflections are adaptable features,Global shape processing involves feature-selective and feature-agnostic coding mechanisms,0.69967
Contour inflections are adaptable features,Digitized Images: What Type of Grey Scale Should One Use?,0.373705
Contour inflections are adaptable features,Corner effect in induced hue: Evidence for chromatic band-pass filters,0.447913
Contour inflections are adaptable features,Visual adaptation to symmetry,0.577584
Contour inflections are adaptable features,Visual cortex responses to different texture-defined boundaries: An fMRI study,0.461552
Contour inflections are adaptable features,Spatial properties of texture-surround suppression of contour-shape coding,0.724952
Contour inflections are adaptable features,Illusions of colour and shadow,0.475972
Contour inflections are adaptable features,Global not local motion direction tuning of curvature encoding mechanisms,0.770302
Contour inflections are adaptable features,Modelling Visual Detection: Luminance Response Non-linearity and Internal Noise,0.376467
Contour inflections are adaptable features,Model for the detection of line signals in visual noise,0.399387
Contour inflections are adaptable features,More than a simple curve: Evidence for mechanisms which are selective for curves containing inflections,0.836154
Contour inflections are adaptable features,Motion direction and temporal frequency tuning of texture-surround capture of contour-shape,0.7214
Contour inflections are adaptable features,"Texture dominates saliency in suprathreshold combinations of texture, colour and luminance.",0.451452
Contour inflections are adaptable features,Spatiochromatic statistics of natural scenes: First- and second-order information and their correlational structure,0.450203
Contour inflections are adaptable features,The common perceptual metric for human discrimination of number and density,0.440436
Contour inflections are adaptable features,Spatial integration of orientation-defined texture,0.566923
Contour inflections are adaptable features,Effect of the number of grey levels on the detectability of a simple line signal in visual noise,0.361411
Contour inflections are adaptable features,An Orientation Anisotropy in Induced Brightness,0.498742
Contour inflections are adaptable features,On the mechanisms for contour-shape after-effects,0.779927
Contour inflections are adaptable features,"Effect of Pixel Height, Display Height, and Vertical Resolution on the Detection of a Simple Vertical Line Signal in Visual Noise",0.291752
Contour inflections are adaptable features,The Binocular Summation of Chromatic Contrast,0.448352
Contour inflections are adaptable features,Luminance-contrast properties of contour-shape processing revealed through adaptation,0.787171
Contour inflections are adaptable features,Multiplication of 1st-stage inputs to curvature detectors,0.770088
Contour inflections are adaptable features,Orientation- and frequency-modulated textures at low depths of modulation are processed by off-orientation and off-frequency texture mechanisms,0.514273
Contour inflections are adaptable features,Ecological validity determines the impact of second-order information on perceptual performance,0.498249
Contour inflections are adaptable features,Dichoptic difference thresholds for the properties of chromatic stimuli,0.44625
Contour inflections are adaptable features,How sensitive are we to distortions in natural scenes ?,0.580034
Contour inflections are adaptable features,Perception of global textures based on joint-orientation statistics,0.664133
Contour inflections are adaptable features,Orientation tuned curvature detectors revealed by the shape-amplitude after-effect,0.848897
Contour inflections are adaptable features,The regularity after-effect: first or second-order?,0.517481
Contour inflections are adaptable features,Why is the tilt after-effect selective to local but not global luminance-contrast polarity?,0.580138
Contour inflections are adaptable features,Painted faces: misperceiving shading as pigmentation,0.433803
Contour inflections are adaptable features,Adaptation aftereffect from faces using the bubbles technique,0.591467
Contour inflections are adaptable features,An after-effect of perceived length,0.567864
Contour inflections are adaptable features,Perceptual averaging of dichoptic mixtures of colour contrast promoted by task-irrelevant luminance contrast,0.408605
Contour inflections are adaptable features,Why do certain spatial after-effects increase with eccentricity?,0.736321
Contour inflections are adaptable features,Contextual disambiguation of rotating Necker cubes,0.483312
Contour inflections are adaptable features,Dichoptic and binocular detection of hue and saturation differences: the effect of luminance contrast,0.353741
Contour inflections are adaptable features,The role of reflectance and shading in face recognition,0.307564
Contour inflections are adaptable features,Spatial properties of curvature encoding revealed by the shape-frequency and shape-amplitude after-effects,0.796645
Contour inflections are adaptable features,Color properties of binocular color fusion and rivalry,0.41228
Contour inflections are adaptable features,Cardinal colour contributions to the colour-shading effect,0.46621
Contour inflections are adaptable features,Is color patchy?,0.274457
Contour inflections are adaptable features,Dichoptic difference thresholds for familiar and unfamiliar transformations of real scenes,0.517829
Contour inflections are adaptable features,Sensitivity to color and luminance transformations in real versus phase-scrambled natural scenes,0.540388
Contour inflections are adaptable features,Equivalent-noise analysis of texture orientation processing and the line-element model,0.571
Contour inflections are adaptable features,Colour contrast can facilitate perceived 3D shape-from-shading,0.428599
Contour inflections are adaptable features,Edge-based versus region-based texture perception: does the task matter?,0.515775
Contour inflections are adaptable features,The role of local position in the detection of contour curvature,0.743056
Contour inflections are adaptable features,After-effect of perceived regularity,0.480727
Dichoptic difference thresholds for uniform color changes applied to natural scenes,Orientation tuning of curvature adaptation reveals both curvature-polarity-selective and non-selective mechanisms,0.476313
Dichoptic difference thresholds for uniform color changes applied to natural scenes,Chromatic variations suppress suprathreshold brightness variations,0.700704
Dichoptic difference thresholds for uniform color changes applied to natural scenes,"Colour Pools, Brightness Pools, Assimilation, and the Spatial Resolving Power of the Human Colour-Vision System",0.653112
Dichoptic difference thresholds for uniform color changes applied to natural scenes,On the Interference of Task-Irrelevant Hue Variation on Texture Segmentation,0.621306
Dichoptic difference thresholds for uniform color changes applied to natural scenes,"Border effects on brightness: A review of findings, models and issues",0.640898
Dichoptic difference thresholds for uniform color changes applied to natural scenes,"Shape recognition: Convexities, concavities and things in between",0.361808
