title_i,title_j,cosine_similarity
The spectra of accretion discs in active galactic nuclei,"Erratum: Tests of models for parton fragmentation by means of three-jet events in<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mo>+</mml:mo></mml:mrow></mml:msup></mml:mrow></mml:math><mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi mathvariant=""italic"">e</mml:mi></mml:mrow><mml:mrow><mml:mi mathvariant=""normal"">−</mml:mi></mml:mrow></mml:msup></mml:mrow></mml:math>annihilation at √<i>s</i>¯=29 GeV [Phys. Rev. Lett. 54, 270 (1985)]",0.019506
The spectra of accretion discs in active galactic nuclei,X-ray reflection in the NLS1 1H 0707-495,0.739023
The spectra of accretion discs in active galactic nuclei,X-ray reflection in Galactic Black Hole Candidates: smeared edge profiles and resonant Auger destruction,0.695652
The spectra of accretion discs in active galactic nuclei,X-ray line emission from photo-ionized gas in a Seyfert nucleus,0.602894
The spectra of accretion discs in active galactic nuclei,Models of the hard X-ray spectrum of AM Herculis and implications for the accretion rate,0.694498
The spectra of accretion discs in active galactic nuclei,The effect of photoelectric absorption on the Comptonized X-ray spectrum of an accreting white dwarf,0.678584
The spectra of accretion discs in active galactic nuclei,Optically thick X-ray transfer - The shell game,0.514587
The spectra of accretion discs in active galactic nuclei,Noise environment in the NLR transonic windtunnel HST,0.05562
The spectra of accretion discs in active galactic nuclei,A comprehensive range of X-ray ionized reflection models,0.655584
The spectra of accretion discs in active galactic nuclei,"Stratigraphic notes, 1983",0.097707
The spectra of accretion discs in active galactic nuclei,X-ray spectra including reflection off matter within the innermost stable orbit,0.606815
The spectra of accretion discs in active galactic nuclei,Ionized Iron Lines in X-ray Reflection Spectra,0.720014
The spectra of accretion discs in active galactic nuclei,An explanation for the soft X-ray excess in AGN (Conference proceedings version),0.756854
The spectra of accretion discs in active galactic nuclei,Experimental study of p.bar.n annihilations between 1.0 and 1.6 GeV/c,0.278514
The spectra of accretion discs in active galactic nuclei,Comptonization of X-Rays by Low Temperature Electrons,0.533057
The spectra of accretion discs in active galactic nuclei,Optically-Thick X-Ray Transfer: The Shell Game.,0.514587
The Comptonization of iron X-ray features in compact X-ray sources,"Iron K fluorescent lines from relativistic, ionized discs",0.657327
The Comptonization of iron X-ray features in compact X-ray sources,Soft X-ray emission lines from photoionized accretion discs: constraints on their strength and width,0.531723
The Comptonization of iron X-ray features in compact X-ray sources,Spectral formation in compact X-ray sources,0.718556
The Comptonization of iron X-ray features in compact X-ray sources,X-ray photoionized accretion discs: UV and X-ray continuum spectra and polarization,0.511813
The Comptonization of iron X-ray features in compact X-ray sources,Fe Kα emission from photoionized slabs: the impact of the iron abundance,0.694015
The Comptonization of iron X-ray features in compact X-ray sources,A complete relativistic ionized accretion disc in Cygnus X-1,0.430613
The Comptonization of iron X-ray features in compact X-ray sources,Time-dependent X-ray spectra of Compton-cooled plasmas,0.597984
The Comptonization of iron X-ray features in compact X-ray sources,The spectra of accretion discs in low-mass X-ray binaries,0.493124
The Comptonization of iron X-ray features in compact X-ray sources,Saturation and beaming in astrophysical masers,0.472826
The Comptonization of iron X-ray features in compact X-ray sources,Applications of linear pulsation theory to the Cepheid mass problem and the double-mode Cepheids,0.269136
The Comptonization of iron X-ray features in compact X-ray sources,"Finite, two-component isothermal spheres. I - Equilibrium models",0.274673
The Comptonization of iron X-ray features in compact X-ray sources,The evidence against Comptonization as a mechanism to explain the Fe Kα line profile in MCG-6-30-15,0.557507
The Comptonization of iron X-ray features in compact X-ray sources,Fe emission and ionized excess absorption in the luminous quasar 3C 109 with XMM-Newton,0.457509
