title_i,title_j,cosine_similarity
Higher-derivative corrections to black hole entropy at zero temperature,"Is it possible to embed a 4D, $ \mathcal{N} $ = 4 supersymmetric vector multiplet within a completely off-shell adinkra hologram?",0.166068
Higher-derivative corrections to black hole entropy at zero temperature,Interplay of the sign problem and the infinite volume limit: Gauge theories with a theta term,0.49224
Higher-derivative corrections to black hole entropy at zero temperature,Bounding violations of the weak gravity conjecture,0.574039
Higher-derivative corrections to black hole entropy at zero temperature,The Entropy Shift and Extremality Shift at Zero Temperature,0.98232
Higher-derivative corrections to black hole entropy at zero temperature,The Weyl Anomaly from the 6D Superconformal Index,0.376654
Higher-derivative corrections to black hole entropy at zero temperature,Averaging over codes and an $SU(2)$ modular bootstrap,0.407676
Higher-derivative corrections to black hole entropy at zero temperature,Bootstrapping time-evolution in quantum mechanics,0.247099
Higher-derivative corrections to black hole entropy at zero temperature,"Nucleon-antinucleon annihilation at large<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi>N</mml:mi><mml:mi>c</mml:mi></mml:msub></mml:math>",0.356174
Higher-derivative corrections to black hole entropy at zero temperature,"Is It Possible To Embed A 4D, N = 4 Supersymmetric Vector Multiplet",0.034734
Higher-derivative corrections to black hole entropy at zero temperature,"Holography, Supergravity, and the Weak Gravity Conjecture",0.697677
Higher-derivative corrections to black hole entropy at zero temperature,Repulsive black holes and higher-derivatives,0.640056
Higher-derivative corrections to black hole entropy at zero temperature,Analytic bootstrap of mixed correlators in the $\boldsymbol{O(n)}$ CFT,0.342129
Higher-derivative corrections to black hole entropy at zero temperature,Adding subtractions: Comparing the impact of different Regge behaviors,0.359131
Higher-derivative corrections to black hole entropy at zero temperature,Bootstrapping supersymmetric (matrix) quantum mechanics,0.409901
Higher-derivative corrections to black hole entropy at zero temperature,Holographic duality from Howe duality: Chern-Simons gravity as an ensemble of code CFTs,0.36487
Higher-derivative corrections to black hole entropy at zero temperature,Quantum bootstrap for central potentials,0.354633
Higher-derivative corrections to black hole entropy at zero temperature,Report on 2310.06888v1,0.396526
Analytic bootstrap of mixed correlators in the O(n) CFT,Averaging over codes and an SU(2) modular bootstrap,0.51258
